Phi(固含量),d50(中位径_um),sigma(几何标准差),Emix(混合功_J),Temp(温度_C),Tau0(屈服应力_Pa)
0.6613,28.4105,1.4686,4391725.1939,49.5784,63.3745
0.6617,25.4237,1.4519,25225975.5938,50.4865,53.5777
0.6679,28.1042,1.5104,4494520.2789,47.7258,71.0446
0.6468,22.8108,1.4112,25016142.0518,50.3463,43.8412
0.6423,22.0671,1.4602,23081375.2896,50.5495,34.9585
0.6647,20.6753,1.5847,4436305.468,49.3136,70.2032
0.6601,23.9966,1.4247,4474086.2016,47.2749,106.8148
0.6567,22.6939,1.4563,4543034.8862,49.03,80.307
0.6491,22.4846,1.4088,4450200.1652,47.4124,70.3237
0.6549,23.931,1.4971,4360609.2517,47.7767,51.2731
0.6562,22.9378,1.4904,4538287.5378,47.1192,60.2916
0.6563,26.0952,1.4088,25272957.3039,50.5599,48.4871
0.67,25.132,1.6021,4636180.0774,47.337,53.4235
0.6632,20.6647,1.5832,24202121.6444,50.6146,50.6694
0.6626,24.8884,1.4532,4199720.5039,47.4954,96.7118
0.664,21.3516,1.5731,4444249.9243,47.7515,65.217
0.6671,23.4479,1.5,24863577.9468,50.8015,65.497
0.6728,26.9025,1.5908,4509617.6398,49.4048,62.3373
0.6417,21.4705,1.4163,24953509.8948,50.1093,40.9536
0.6541,22.2973,1.4412,4334698.5594,49.5296,80.859
0.67,26.0427,1.5764,24348408.5229,50.5557,42.9589
0.6611,28.3754,1.4223,4267406.3658,49.6107,90.0137
0.6553,21.6378,1.5536,25109473.2032,50.5624,38.733
0.6678,20.2844,1.6706,25672165.8194,50.9341,43.9165
0.6463,21.4568,1.4626,4276511.539,48.8274,53.8297
0.6556,24.858,1.4244,25104359.0694,50.2027,48.486
0.6616,20.5123,1.6666,24715530.9113,50.0245,34.8169
0.643,20.4799,1.4557,24300523.3526,50.021,41.1525
0.656,22.5716,1.5063,24805996.7113,50.4914,43.578
0.6676,28.9792,1.5255,4240983.5305,48.7413,60.3569
0.6497,25.4971,1.4297,4450593.6655,47.6832,50.4366
0.671,30.8922,1.5031,4402915.2171,47.4976,80.4556
0.667,31.8877,1.4755,25476623.5101,50.5754,39.0333
0.6717,27.0742,1.6024,4454872.6087,48.0394,51.5111
0.6574,22.5839,1.4737,25624012.153,50.6668,51.6125
0.6556,26.3367,1.4166,25236067.5243,50.3493,44.5759
0.6724,26.4197,1.5071,4279818.1525,48.4813,124.7859
0.6584,20.4769,1.4802,4485555.9256,49.4333,94.8615
