Source,Mix_ID,Phi,d50_um,sigma,Emix_J,Temp_C,Tau0_Pa,Plastic_Viscosity_Pa_s,w_b,Material_Type,Admixture,Replacement_percent
Table5,T5_FA9_phi0.350,0.35,11.35,1.664145072253412,412048090.74120635,25.0,12.34182908545727,,,Cement_FA,FA,9
Table5,T5_FA9_phi0.400,0.4,11.35,1.7130638116654169,427966419.28636336,25.0,23.54022988505749,,,Cement_FA,FA,9
Table5,T5_FA9_phi0.450,0.45,11.35,1.817669570536207,465563754.5156896,25.0,46.408488063660506,,,Cement_FA,FA,9
Table5,T5_FA18_phi0.350,0.35,12.7,1.8761190323475083,401154461.2075435,25.0,11.678347160977331,,,Cement_FA,FA,18
Table5,T5_FA18_phi0.400,0.4,12.7,1.633477117858599,435025658.6681822,25.0,22.195352847997466,,,Cement_FA,FA,18
Table5,T5_FA18_phi0.450,0.45,12.7,1.7006347868014735,462385146.4747448,25.0,43.482956963592535,,,Cement_FA,FA,18
Table5,T5_FA27_phi0.350,0.35,14.05,1.8603274093653213,401605493.0839127,25.0,10.845588235294116,,,Cement_FA,FA,27
Table5,T5_FA27_phi0.400,0.4,14.05,1.7739522983085825,436920250.78919864,25.0,20.49500651324361,,,Cement_FA,FA,27
Table5,T5_FA27_phi0.450,0.45,14.05,1.8682552622679092,446434226.6674821,25.0,39.75432564330082,,,Cement_FA,FA,27
Table5,T5_FA36_phi0.350,0.35,15.4,1.7481706076082617,391945362.1141175,25.0,10.11630892650192,,,Cement_FA,FA,36
Table5,T5_FA36_phi0.400,0.4,15.4,1.636492112898466,433819454.9664526,25.0,19.01283541140597,,,Cement_FA,FA,36
Table5,T5_FA36_phi0.450,0.45,15.4,1.7004481479248053,445095569.79288894,25.0,36.53639783488014,,,Cement_FA,FA,36
Table5,T5_SL9_phi0.350,0.35,10.72,1.5947218450160752,395454094.85769427,25.0,12.8510479269107,,,Cement_SL,SL,9
Table5,T5_SL9_phi0.400,0.4,10.72,1.5240928116533494,437314193.594942,25.0,24.571361922164783,,,Cement_SL,SL,9
Table5,T5_SL9_phi0.450,0.45,10.72,1.7246061359445757,459737969.1938488,25.0,48.651566554930824,,,Cement_SL,SL,9
Table5,T5_SL18_phi0.350,0.35,11.44,1.7773725200239583,403960011.1130532,25.0,12.566810344827584,,,Cement_SL,SL,18
Table5,T5_SL18_phi0.400,0.4,11.44,1.6808607097570494,423568360.3316113,25.0,23.96934865900385,,,Cement_SL,SL,18
Table5,T5_SL18_phi0.450,0.45,11.44,1.6767500582554056,459505291.99817795,25.0,47.254476127320984,,,Cement_SL,SL,18
Table5,T5_SL27_phi0.350,0.35,12.16,1.544795423824795,408818716.4036984,25.0,12.120230567068369,,,Cement_SL,SL,27
Table5,T5_SL27_phi0.400,0.4,12.16,1.6553123100335727,426055116.53213906,25.0,23.035177009813584,,,Cement_SL,SL,27
Table5,T5_SL27_phi0.450,0.45,12.16,1.779096452396627,458373525.73490506,25.0,45.12825803789063,,,Cement_SL,SL,27
Table5,T5_SL36_phi0.350,0.35,12.88,1.710850418537641,398888629.32081354,25.0,11.922271982203489,,,Cement_SL,SL,36
Table5,T5_SL36_phi0.400,0.4,12.88,1.588331772016733,435688100.64901173,25.0,22.63251935675999,,,Cement_SL,SL,36
Table5,T5_SL36_phi0.450,0.45,12.88,1.5059904425252777,457836529.8524079,25.0,44.249003271314685,,,Cement_SL,SL,36
Table5,T5_ST9_phi0.350,0.35,9.28,1.483598294014571,398827613.4151659,25.0,13.207407663470985,,,Cement_ST,ST,9
Table5,T5_ST9_phi0.400,0.4,9.28,1.427513219597722,425965810.10728234,25.0,25.315656565656564,,,Cement_ST,ST,9
Table5,T5_ST9_phi0.450,0.45,9.28,1.5466102887541908,458740695.34594107,25.0,50.34877232142855,,,Cement_ST,ST,9
Table5,T5_ST18_phi0.350,0.35,8.56,1.620475444268779,410501569.02992815,25.0,12.981185121107265,,,Cement_ST,ST,18
Table5,T5_ST18_phi0.400,0.4,8.56,1.5900238494390249,433546125.8306017,25.0,24.820185840363916,,,Cement_ST,ST,18
Table5,T5_ST18_phi0.450,0.45,8.56,1.5355208609715305,461943324.78755754,25.0,49.14424064662632,,,Cement_ST,ST,18
Table5,T5_ST27_phi0.350,0.35,7.84,1.538066775060266,412698608.78825206,25.0,12.727511244377808,,,Cement_ST,ST,27
Table5,T5_ST27_phi0.400,0.4,7.84,1.6658772769435155,431735682.77806026,25.0,24.275862068965537,,,Cement_ST,ST,27
Table5,T5_ST27_phi0.450,0.45,7.84,1.529214132041938,458097042.80795825,25.0,47.8587533156499,,,Cement_ST,ST,27
Table5,T5_ST36_phi0.350,0.35,7.12,1.559227334351217,401794489.9382134,25.0,12.47917036971204,,,Cement_ST,ST,36
Table5,T5_ST36_phi0.400,0.4,7.12,1.4250942492897585,434363596.4056632,25.0,23.745326838110337,,,Cement_ST,ST,36
Table5,T5_ST36_phi0.450,0.45,7.12,1.4879665188178104,455765085.34834194,25.0,46.615803655107754,,,Cement_ST,ST,36
