d50(中位径_um),sigma(几何标准差),Phi_1(固含量),Phi_m_1(最大堆积),Emix_1(混合功_J),Temp_1(温度_C),Tau0_1(屈服应力_Pa),Phi_83(固含量),Phi_m_83(最大堆积),Emix_83(混合功_J),Temp_83(温度_C),Tau0_83(屈服应力_Pa),Phi_2(固含量),Phi_m_2(最大堆积),Emix_2(混合功_J),Temp_2(温度_C),Tau0_2(屈服应力_Pa)
26.5741,1.4641,0.6676,0.6792,4443056.1008,49.9088,122.3223,0.6639,0.6868,17909164.4933,52.2163,62.188,0.6639,0.6906,25241822.2984,50.2919,50.972
30.7048,1.4189,0.6602,0.6748,4328305.4487,48.1559,70.7843,0.6552,0.6827,17331283.6938,52.725,39.2318,0.6552,0.6869,24867298.1135,50.3003,32.1556
28.8817,1.4653,0.6685,0.6794,4651826.8904,48.2428,106.6346,0.663,0.6864,16943524.5074,52.582,51.4882,0.663,0.6904,24670374.9559,50.2073,41.5628
23.8165,1.6009,0.6696,0.6923,4596575.904,49.1029,61.1848,0.6654,0.6983,18046838.8896,52.5382,43.4263,0.6654,0.701,24770504.3786,50.2704,38.061
22.4207,1.4057,0.6522,0.6736,4509053.467,47.2049,84.0938,0.6471,0.6821,18098325.9373,52.3499,54.6438,0.6471,0.686,25130140.6776,50.2462,46.6665
22.2742,1.407,0.657,0.6736,4212419.2006,48.4799,118.5563,0.6524,0.6813,16604595.5846,52.2668,69.8896,0.6524,0.6851,23353034.1643,50.87,59.5638
31.1327,1.4373,0.6591,0.6766,4426271.4998,48.9075,55.8797,0.6552,0.6839,16665109.0867,52.2278,35.0845,0.6552,0.6875,23213916.3731,50.9878,30.2415
29.9976,1.4072,0.6577,0.6736,4273011.8674,47.9312,67.5848,0.6531,0.6813,16626433.2021,52.9143,40.2248,0.6531,0.6849,22876551.5855,50.5596,33.8005
30.3478,1.4011,0.664,0.6732,4517447.6545,48.8421,124.363,0.6602,0.6811,17056410.053,52.8914,57.0279,0.6602,0.685,23947609.4995,50.947,45.8078
22.2332,1.614,0.6731,0.6934,4256388.0099,49.9442,80.9213,0.6683,0.6994,18099832.2866,52.3442,52.5461,0.6683,0.7022,25039410.885,50.0392,45.8024
20.7972,1.424,0.6427,0.6753,4428013.5591,48.4263,58.8762,0.6389,0.6833,17496279.6314,52.4652,45.0561,0.6389,0.6871,24485209.3988,50.8565,39.8468
23.8255,1.5025,0.6717,0.6828,4308784.2023,47.1474,144.5696,0.667,0.6894,16710839.7263,52.2693,76.4253,0.667,0.6928,23538874.3162,50.6476,63.9292
