Phi(固含量),d50(中位径_um),sigma(几何标准差),Emix(混合功_J),Temp(温度_C),Tau0(屈服应力_Pa)
0.6795,20.9129,1.4828,4481426.7215,48.7547,1652.0233
0.625,29.3359,1.4129,23753728.7531,50.1475,13.995
0.6184,24.0786,1.577,23820207.8606,50.7368,10.6909
0.6107,24.3551,1.4185,24154567.5416,50.4393,14.0205
0.6538,24.0111,1.4471,4612910.8998,47.1281,62.0957
0.6598,29.6942,1.4238,4577756.9362,47.8498,69.5323
0.6449,26.094,1.5019,4341370.5422,48.5261,28.5418
0.6105,20.5278,1.4064,24639348.4951,50.7267,20.465
0.6756,21.8114,1.5381,4610611.6174,48.4898,179.283
0.6095,22.303,1.5476,25183690.5115,50.3513,10.8983
0.6508,26.7693,1.425,4630820.5482,47.3073,49.0043
0.6549,22.303,1.5476,4504147.4932,48.6745,46.5378
0.6771,26.6537,1.4478,4505111.9921,49.0501,2754.9426
0.6768,23.7437,1.4465,4396539.4921,47.8366,2773.6748
0.6004,22.4418,1.5612,24157971.8443,50.1797,8.3915
0.6399,29.5741,1.461,4151847.0099,48.6831,22.3868
0.6422,20.7523,1.5445,4275696.0374,48.9755,34.8254
0.6027,25.0946,1.5176,25206543.549,50.6503,8.1358
0.6621,27.6981,1.5994,4368046.4082,47.8352,31.0674
0.652,28.8119,1.5939,4184575.4933,48.6952,20.3362
0.6759,26.8289,1.5283,4280872.672,48.6879,140.6198
0.6504,29.5877,1.4871,23646644.2247,50.0851,22.5368
0.6538,27.7676,1.5834,23194645.6377,50.6049,20.472
0.6629,23.9061,1.5115,4604927.5209,48.4613,71.622
0.6434,23.309,1.4394,4276591.4131,47.5906,44.0245
0.6231,26.0416,1.5031,23562614.6337,50.2884,12.7824
0.6621,29.8882,1.4943,4375334.1052,49.1634,50.1345
0.6374,24.7568,1.4836,23458216.0622,50.8312,22.2692
0.6067,21.8298,1.5293,24920471.5738,50.3838,11.2914
0.6209,24.2623,1.5071,24262263.0417,50.8026,13.8512
0.6417,22.1778,1.5546,25446165.9578,50.0998,23.9129
0.6327,26.5795,1.5031,24276084.9983,50.9993,15.8846
0.6363,20.824,1.525,4436456.4015,49.1095,31.0697
0.6313,26.7231,1.5708,4335787.8991,49.0973,13.6943
0.6457,28.8505,1.5866,4446908.5693,49.868,17.3457
0.6791,21.1711,1.5725,4603272.2501,49.6392,195.3429
0.657,24.8021,1.5542,4179324.3528,48.5542,39.918
0.6173,27.8975,1.5229,25609740.5737,50.2084,8.9625
0.6614,21.1749,1.5579,4471592.2074,49.7348,66.7463
0.6545,27.1468,1.5925,24386341.4396,50.0301,20.74
0.621,22.9731,1.5701,24963070.3916,50.9585,12.7483
0.6527,27.4616,1.5345,24555069.3971,50.2151,23.6026
0.6639,23.6329,1.5837,4363834.1495,47.0099,49.2903
0.6034,23.1431,1.5911,24564762.1211,50.0128,7.657
0.6215,24.4338,1.5482,23608446.1728,50.0391,12.0643
0.6465,29.402,1.5531,4373008.534,49.6321,19.5687
0.68,27.6174,1.5786,4437377.9416,48.9296,116.7559
0.6766,20.9079,1.5806,4671850.8515,49.8413,146.6333
0.6576,20.4325,1.5252,4429131.9251,47.499,67.9134
0.6668,26.9563,1.4839,4494671.2801,48.0182,88.5943
0.6046,27.6186,1.5735,25283258.4243,50.461,5.8716
0.6274,28.666,1.4347,24655567.8158,50.6482,14.6016
0.6017,20.5028,1.5739,23654248.1651,50.666,10.0923
0.627,23.8869,1.4562,24048097.8337,50.5705,19.4944
0.6329,26.7878,1.4804,4395071.1111,49.301,20.2567
0.608,20.2457,1.4564,25350112.2672,50.4976,16.8677
0.6508,27.722,1.558,4520296.2897,47.3333,23.7496
0.6022,28.4007,1.5884,25207971.0232,50.7694,5.0611
0.6651,26.5703,1.4366,4542852.5819,49.3585,124.8889
0.6364,20.9129,1.4828,24167294.9264,50.2947,29.8545
0.6609,24.1957,1.5505,4615476.6853,48.9785,50.9778
0.6067,23.3505,1.5878,24571320.9791,50.2419,8.2239
0.6646,22.3501,1.4432,4352555.1533,47.7784,153.979
0.6606,27.9181,1.4407,4313308.526,47.1553,72.5472
0.6466,27.0183,1.4376,4477492.6624,49.7781,39.4166
0.6758,26.3403,1.5151,4305923.6873,48.4716,168.5081
0.6603,27.8975,1.5229,4598828.9548,48.6213,42.9469
0.6132,23.6398,1.5202,24401561.299,50.4292,11.5713
0.6377,23.734,1.4378,23085679.3546,50.7488,28.5518
0.6042,28.6195,1.5409,24737209.8429,50.0724,5.9648
0.6144,26.7135,1.5964,25125076.7842,50.4867,7.3351
0.6287,22.3074,1.5868,25322452.375,50.4212,15.2698
0.6746,26.7617,1.5448,4077604.5195,47.1587,100.8846
0.6473,25.1411,1.5427,24668511.2689,50.7288,23.2851
0.6216,23.4957,1.5205,25296861.2112,50.5971,14.2747
0.6838,29.9813,1.5286,4486736.3908,48.7993,700.3246
0.6767,22.4976,1.5553,4452694.7957,49.113,160.4823
