d50(中位径_um),sigma(几何标准差),Phi_1(固含量),Phi_m_1(最大堆积),Emix_1(混合功_J),Temp_1(温度_C),Tau0_1(屈服应力_Pa),Phi_83(固含量),Phi_m_83(最大堆积),Emix_83(混合功_J),Temp_83(温度_C),Tau0_83(屈服应力_Pa),Phi_2(固含量),Phi_m_2(最大堆积),Emix_2(混合功_J),Temp_2(温度_C),Tau0_2(屈服应力_Pa)
10.1931,1.4079,0.4701,0.5746,1282469.0899,25.2699,11.8848,0.4701,0.581,5241285.3805,31.4039,16.3926,0.4645,0.5849,7699092.7004,27.3165,10.2622
7.7668,1.4677,0.4647,0.5784,1429679.3153,25.0867,11.692,0.4647,0.585,5601708.9661,29.9187,15.1194,0.4588,0.5888,8088844.7892,29.2811,11.147
9.3395,1.4847,0.4757,0.5791,1269486.213,26.4595,12.1981,0.4757,0.5847,4798620.5323,29.8635,14.2589,0.472,0.5883,7139593.3423,29.7989,11.972
9.2537,1.4571,0.4817,0.5775,1282111.7765,27.3383,19.0461,0.4817,0.584,5353645.7894,29.918,20.7085,0.4718,0.5877,7729623.3553,28.3466,12.896
9.0921,1.4506,0.4784,0.5772,1349828.6756,26.8853,17.6855,0.4784,0.5845,5895000.8899,29.4695,19.1996,0.4699,0.5879,8116947.2231,28.0012,12.6258
11.5328,1.4342,0.4878,0.5763,1374130.1651,27.3474,16.8706,0.4878,0.5826,5288012.2591,29.4203,17.7587,0.4785,0.5866,7887046.2533,27.9292,11.4687
7.1454,1.4637,0.4632,0.578,1338422.4788,27.7019,16.1925,0.4632,0.5842,5239805.0286,31.5896,19.0869,0.4592,0.588,7705514.7173,27.1311,12.0857
10.4457,1.4282,0.4699,0.5759,1362500.5692,25.7511,10.4076,0.4699,0.5825,5440061.5048,28.7213,11.8639,0.4667,0.5862,7805748.6059,28.7839,10.2733
10.4272,1.4159,0.4805,0.5753,1396829.0254,26.0871,16.2988,0.4805,0.5826,5919565.2789,31.3605,20.7477,0.4705,0.5859,8065487.7361,28.7913,12.498
9.5341,1.4559,0.4749,0.5778,1506952.1496,25.4973,12.4722,0.4749,0.5831,4825034.9673,29.0334,14.9522,0.4688,0.5874,7598721.6311,28.914,11.4346
8.4582,1.4781,0.4721,0.5788,1330085.4434,27.2918,14.3297,0.4721,0.5857,5657747.4428,30.1758,15.9072,0.4645,0.5894,8093851.6773,29.779,11.2696
10.0457,1.4088,0.4766,0.5748,1372778.8249,25.5438,15.4019,0.4766,0.5816,5547195.0884,28.5681,17.5462,0.4736,0.5856,8132046.2745,28.6534,15.3485
8.0965,1.4964,0.4732,0.5798,1230362.0147,25.9364,13.2555,0.4732,0.5861,5264963.0476,30.8857,16.9354,0.4694,0.5898,7674974.3596,29.4607,13.027
