Phi,d50,sigma,Emix,Temp,Tau0
0.4852,11.6103,1.4669,1459270.474,26.1132,11.8197
0.4829,9.8146,1.4374,1352156.6581,26.1156,17.9397
0.4798,7.2031,1.6032,7642725.5895,27.1467,10.4123
0.4701,9.3156,1.4063,1391476.84,25.3384,14.3929
0.4676,7.3901,1.4299,1446813.1822,27.017,20.8345
0.4679,7.0411,1.477,8029713.2163,28.1053,16.8594
0.4821,8.5896,1.5022,1476718.6294,26.8811,16.864
0.465,9.3825,1.4146,1356946.5448,26.7805,12.7022
0.4708,7.0603,1.5113,7378217.102,28.7486,15.7885
0.4765,9.6826,1.4084,1414234.3015,27.3923,18.917
0.4744,8.533,1.4418,7784694.0082,28.7418,18.5306
0.4758,8.2716,1.4266,1423388.9236,26.3173,21.3158
0.4667,8.4636,1.4552,1345722.8073,25.0374,11.4269
0.4781,7.3766,1.5176,1493692.0192,25.5466,16.282
0.4808,7.3798,1.5072,1263620.6202,27.2111,21.7627
0.4648,7.0432,1.4026,1446252.3296,26.4391,23.3303
0.4604,8.0367,1.4555,7681979.8544,29.307,12.1396
0.4707,7.9664,1.4255,1424217.3001,26.413,19.5907
0.4787,9.8402,1.4357,1344598.7713,27.4348,17.1685
0.4721,7.3766,1.5176,8346405.5622,27.2187,13.0665
0.4695,7.4583,1.4401,1431974.6384,26.6985,20.1594
0.4693,9.5865,1.4658,7269419.9586,27.8292,10.1931
0.4723,9.1541,1.4235,1414458.2573,27.72,17.3697
0.4607,7.1978,1.5049,7738892.3854,28.943,10.6153
0.4773,11.4519,1.4047,1518680.8098,27.4113,14.1066
0.4783,10.2568,1.4765,7583727.9298,27.1416,10.945
0.4839,10.3733,1.4554,1404875.3954,26.687,15.7043
0.4604,8.595,1.4562,7898092.4552,29.144,10.4038
0.4679,7.1286,1.4034,8084016.9775,28.0177,25.0416
0.4858,11.12,1.4216,1248290.6846,25.9129,16.4261
0.4834,8.8745,1.4784,1355380.6636,26.5248,18.4872
0.4698,9.145,1.4264,7029906.3647,29.5711,15.9906
0.4784,8.5933,1.5218,7195903.3746,27.6333,12.4914
0.487,8.4269,1.526,1408774.8838,26.8637,18.2538
0.476,9.6384,1.4346,1260615.1392,26.5932,15.505
0.4793,8.1195,1.4516,1299031.4197,26.8758,22.7721
