Phi,d50_um,sigma,SP_percent,phi_max,m1_Pa,Tau0_Pa
0.4651,15.645,1.7136,0.594,0.7153,0.7905,0.4446
0.455,18.836,1.6671,1.012,0.9013,0.7263,0.1701
0.5045,14.479,1.869,0.428,0.6368,0.7718,1.1766
0.4864,16.981,1.7958,0.416,0.6298,0.616,0.785
0.4553,17.326,1.5315,0.825,0.8232,0.6522,0.2032
0.4534,16.191,1.6051,0.368,0.6001,0.6832,0.7233
0.4828,14.933,1.5753,0.419,0.6338,0.7456,0.8769
0.4578,18.432,1.7167,1.082,0.9362,0.8233,0.1764
0.5094,15.704,1.8723,0.659,0.7246,0.7941,0.6735
0.4716,18.506,1.5656,0.707,0.7447,0.7603,0.3919
0.5013,16.458,1.6894,0.878,0.8249,0.6245,0.2947
0.4577,15.31,1.8527,0.669,0.7232,0.7871,0.393
0.4897,17.545,1.8295,1.027,0.8706,0.658,0.233
0.5038,18.237,1.525,0.817,0.8222,0.7163,0.35
0.5013,16.995,1.546,0.741,0.746,0.8078,0.5577
0.4522,14.438,1.8748,0.577,0.6842,0.69,0.4019
0.4751,14.807,1.6887,0.618,0.7161,0.7439,0.4623
0.4705,14.637,1.6589,0.966,0.8448,0.8116,0.2674
0.4535,16.114,1.7263,0.629,0.7263,0.7387,0.3476
0.4518,18.641,1.7115,0.675,0.7402,0.8192,0.354
0.4747,18.253,1.5806,0.671,0.7276,0.7411,0.4307
0.5022,14.167,1.8263,0.769,0.77,0.6733,0.4136
0.4646,17.373,1.5223,0.573,0.6948,0.6995,0.4387
0.4633,16.372,1.504,0.935,0.8363,0.62,0.1977
0.5041,18.531,1.7025,0.445,0.6315,0.8129,1.2934
0.5038,14.961,1.5163,0.705,0.758,0.6431,0.4269
0.4802,16.784,1.7953,0.487,0.6572,0.7594,0.7232
0.451,18.997,1.5846,1.032,0.8818,0.8049,0.1944
0.4905,14.05,1.8112,0.732,0.7785,0.8165,0.43
0.4887,18.684,1.555,0.481,0.659,0.6967,0.7246
0.4599,15.72,1.7932,0.437,0.6342,0.8256,0.726
0.4871,14.281,1.799,0.936,0.8623,0.8086,0.2889
0.4954,15.144,1.7387,0.682,0.7492,0.6973,0.446
0.458,15.739,1.7481,1.065,0.8853,0.6498,0.1651
0.4855,14.974,1.6965,0.712,0.7588,0.6025,0.3327
0.4813,17.851,1.8229,1.082,0.8955,0.6042,0.1816
0.4812,17.208,1.8269,0.772,0.8005,0.6489,0.2828
0.4862,16.317,1.7398,0.473,0.6573,0.6753,0.6905
0.506,17.238,1.8876,0.925,0.8549,0.806,0.3502
0.4792,18.015,1.7157,0.543,0.67,0.6768,0.5824
0.4639,18.532,1.7497,1.025,0.8847,0.7359,0.1974
0.5022,14.02,1.6982,0.674,0.7502,0.6659,0.4532
