Phi,SP_percent,phi_max,Tau0_Pa
0.4524,0.6217,0.7275,0.333
0.4877,1.0053,0.9079,0.2188
0.4597,0.779,0.7971,0.26
0.468,0.8348,0.8303,0.2453
0.4905,0.8436,0.7903,0.3588
0.4786,0.6131,0.7039,0.4979
0.4839,0.9287,0.8486,0.2636
0.5058,0.5036,0.6734,0.8251
0.471,0.8945,0.8534,0.2304
0.4739,1.0804,0.9178,0.188
0.4524,0.7932,0.7974,0.2424
0.4601,1.0095,0.8872,0.1851
0.4613,0.4077,0.6267,0.6817
0.4507,0.5309,0.6928,0.3931
0.5017,0.9571,0.8692,0.2847
0.5052,0.6098,0.7018,0.6728
0.4547,0.5296,0.6849,0.4294
0.4941,0.9526,0.8479,0.2895
0.4957,0.9589,0.8537,0.287
0.4568,0.9019,0.8256,0.2253
0.5062,0.3892,0.6083,1.5045
0.4705,0.8363,0.7871,0.301
0.5028,1.0742,0.904,0.2523
0.4879,0.7494,0.752,0.4211
0.4652,0.4005,0.6076,0.8372
0.4629,0.8172,0.7797,0.2893
0.4713,0.8555,0.795,0.293
0.4963,0.841,0.7931,0.3738
0.4684,0.9417,0.8516,0.2267
0.4883,1.0154,0.8853,0.2384
0.4596,0.6962,0.7243,0.3645
0.4571,0.5667,0.6851,0.4403
0.4535,0.8713,0.8473,0.2012
0.497,0.9353,0.8494,0.2953
0.4749,0.6717,0.7374,0.3987
0.502,0.784,0.7821,0.4159
0.4601,0.5827,0.6965,0.4256
0.4737,0.4863,0.6405,0.7164
0.4735,0.5257,0.66,0.6207
0.4649,0.908,0.816,0.2525
0.4557,0.8623,0.7983,0.249
0.4743,0.797,0.7721,0.3342
0.4701,0.4545,0.6512,0.634
0.4981,1.0697,0.91,0.2374
0.4749,0.6666,0.7459,0.3816
0.5046,0.8916,0.834,0.3367
0.5061,0.6137,0.6931,0.7201
0.4891,0.9039,0.8285,0.2996
0.4829,0.8689,0.8298,0.2817
0.4827,0.4699,0.6542,0.7216
0.4947,0.5242,0.6668,0.7596
0.4681,0.9107,0.8408,0.2356
0.4971,0.7989,0.7874,0.3867
0.482,0.5319,0.6647,0.6637
0.4637,0.535,0.6747,0.5041
0.4713,0.65,0.7067,0.453
0.4768,0.7261,0.748,0.3848
0.4846,0.4394,0.6157,1.015
0.455,0.7134,0.745,0.3139
0.5027,1.0585,0.904,0.2522
