phi,d_s_um,tau_Pa,powder,m1_true
0.41,0.58,194.24,AKP-15,310
0.21,0.185,52.24,AKP-50,1380
0.29,0.247,101.5,AKP-30,830
0.38,0.58,149.46,AKP-15,310
0.43,0.185,1148.42,AKP-50,1380
0.25,0.247,53.11,AKP-30,830
0.37,0.185,443.85,AKP-50,1380
0.1,0.58,0.67,AKP-15,310
0.51,0.247,2973.02,AKP-30,830
0.22,0.401,18.23,AKP-20,470
0.1,0.185,2.23,AKP-50,1380
0.3,0.401,71.43,AKP-20,470
0.49,0.247,1658.52,AKP-30,830
0.4,0.247,478.47,AKP-30,830
0.4,0.185,730.88,AKP-50,1380
0.17,0.247,11.18,AKP-30,830
0.47,0.401,770.2,AKP-20,470
0.29,0.185,172.36,AKP-50,1380
0.18,0.401,7.34,AKP-20,470
0.34,0.58,95.81,AKP-15,310
0.38,0.401,174.44,AKP-20,470
0.25,0.185,96.88,AKP-50,1380
0.37,0.247,398.13,AKP-30,830
0.44,0.401,465.55,AKP-20,470
0.5,0.58,825.36,AKP-15,310
0.14,0.401,2.77,AKP-20,470
0.41,0.401,371.48,AKP-20,470
0.21,0.247,30.08,AKP-30,830
0.14,0.58,2.26,AKP-15,310
0.49,0.185,3327.01,AKP-50,1380
